date	type	location	count	response
2009-07-01	Structural Fires	Citywide	1947	234
2009-07-01	Structural Fires	Manhattan	435	240
2009-07-01	Structural Fires	The Bronx	432	239
2009-07-01	Structural Fires	Staten Island	90	274
2009-07-01	Structural Fires	Brooklyn	652	209
2009-07-01	Structural Fires	Queens	338	257
2009-07-01	Non Structural Fires	Citywide	1495	259
2009-07-01	Non Structural Fires	Manhattan	349	256
2009-07-01	Non Structural Fires	The Bronx	296	272
2009-07-01	Non Structural Fires	Staten Island	103	278
2009-07-01	Non Structural Fires	Brooklyn	438	239
2009-07-01	Non Structural Fires	Queens	309	271
2009-07-01	Medical Emergencies	Citywide	18606	252
2009-07-01	Medical Emergencies	Manhattan	4895	257
2009-07-01	Medical Emergencies	The Bronx	3429	257
2009-07-01	Medical Emergencies	Staten Island	933	259
2009-07-01	Medical Emergencies	Brooklyn	5344	231
2009-07-01	Medical Emergencies	Queens	4005	270
2009-07-01	Non Medical Emergencies	Citywide	15739	290
2009-07-01	Non Medical Emergencies	Manhattan	4446	291
2009-07-01	Non Medical Emergencies	The Bronx	3150	304
2009-07-01	Non Medical Emergencies	Staten Island	877	324
2009-07-01	Non Medical Emergencies	Brooklyn	4395	260
2009-07-01	Non Medical Emergencies	Queens	2871	311
2009-07-01	False Alarm	Citywide	2655	247
2009-07-01	False Alarm	Manhattan	474	247
2009-07-01	False Alarm	The Bronx	755	266
2009-07-01	False Alarm	Staten Island	192	229
2009-07-01	False Alarm	Brooklyn	565	222
2009-07-01	False Alarm	Queens	669	251
2009-07-01	Medical False Alarm	Citywide	408	253
2009-07-01	Medical False Alarm	Manhattan	110	258
2009-07-01	Medical False Alarm	The Bronx	75	240
2009-07-01	Medical False Alarm	Staten Island	10	250
2009-07-01	Medical False Alarm	Brooklyn	111	230
2009-07-01	Medical False Alarm	Queens	102	282
2009-07-01	All Fire/Emergency Incidents	Citywide	40850	267
2009-07-01	All Fire/Emergency Incidents	Manhattan	10709	272
2009-07-01	All Fire/Emergency Incidents	The Bronx	8137	277
2009-07-01	All Fire/Emergency Incidents	Staten Island	2205	285
2009-07-01	All Fire/Emergency Incidents	Brooklyn	11505	241
2009-07-01	All Fire/Emergency Incidents	Queens	8294	283
2009-08-01	Structural Fires	Citywide	1933	238
2009-08-01	Structural Fires	Manhattan	439	244
2009-08-01	Structural Fires	The Bronx	432	257
2009-08-01	Structural Fires	Staten Island	80	272
2009-08-01	Structural Fires	Brooklyn	613	206
2009-08-01	Structural Fires	Queens	369	256
2009-08-01	Non Structural Fires	Citywide	1283	258
2009-08-01	Non Structural Fires	Manhattan	276	255
2009-08-01	Non Structural Fires	The Bronx	230	281
2009-08-01	Non Structural Fires	Staten Island	44	301
2009-08-01	Non Structural Fires	Brooklyn	402	229
2009-08-01	Non Structural Fires	Queens	331	276
2009-08-01	Medical Emergencies	Citywide	18409	253
2009-08-01	Medical Emergencies	Manhattan	4854	256
2009-08-01	Medical Emergencies	The Bronx	3438	260
2009-08-01	Medical Emergencies	Staten Island	838	266
2009-08-01	Medical Emergencies	Brooklyn	5437	233
2009-08-01	Medical Emergencies	Queens	3842	270
2009-08-01	Non Medical Emergencies	Citywide	16859	295
2009-08-01	Non Medical Emergencies	Manhattan	4621	302
2009-08-01	Non Medical Emergencies	The Bronx	3786	317
2009-08-01	Non Medical Emergencies	Staten Island	834	296
2009-08-01	Non Medical Emergencies	Brooklyn	4571	259
2009-08-01	Non Medical Emergencies	Queens	3047	312
2009-08-01	False Alarm	Citywide	2814	246
2009-08-01	False Alarm	Manhattan	514	257
2009-08-01	False Alarm	The Bronx	779	261
2009-08-01	False Alarm	Staten Island	198	244
2009-08-01	False Alarm	Brooklyn	632	214
2009-08-01	False Alarm	Queens	691	251
2009-08-01	Medical False Alarm	Citywide	425	259
2009-08-01	Medical False Alarm	Manhattan	132	256
2009-08-01	Medical False Alarm	The Bronx	84	260
2009-08-01	Medical False Alarm	Staten Island	15	284
2009-08-01	Medical False Alarm	Brooklyn	94	226
2009-08-01	Medical False Alarm	Queens	100	289
2009-08-01	All Fire/Emergency Incidents	Citywide	41723	270
2009-08-01	All Fire/Emergency Incidents	Manhattan	10836	278
2009-08-01	All Fire/Emergency Incidents	The Bronx	8749	287
2009-08-01	All Fire/Emergency Incidents	Staten Island	2009	278
2009-08-01	All Fire/Emergency Incidents	Brooklyn	11749	241
2009-08-01	All Fire/Emergency Incidents	Queens	8380	284
2009-09-01	Structural Fires	Citywide	2096	238
2009-09-01	Structural Fires	Manhattan	468	253
2009-09-01	Structural Fires	The Bronx	449	240
2009-09-01	Structural Fires	Staten Island	103	256
2009-09-01	Structural Fires	Brooklyn	676	214
2009-09-01	Structural Fires	Queens	400	253
2009-09-01	Non Structural Fires	Citywide	1294	261
2009-09-01	Non Structural Fires	Manhattan	277	263
2009-09-01	Non Structural Fires	The Bronx	237	280
2009-09-01	Non Structural Fires	Staten Island	64	256
2009-09-01	Non Structural Fires	Brooklyn	362	231
2009-09-01	Non Structural Fires	Queens	354	279
2009-09-01	Medical Emergencies	Citywide	17073	255
2009-09-01	Medical Emergencies	Manhattan	4592	256
2009-09-01	Medical Emergencies	The Bronx	3230	267
2009-09-01	Medical Emergencies	Staten Island	840	261
2009-09-01	Medical Emergencies	Brooklyn	4927	234
2009-09-01	Medical Emergencies	Queens	3484	274
2009-09-01	Non Medical Emergencies	Citywide	14027	286
2009-09-01	Non Medical Emergencies	Manhattan	4018	300
2009-09-01	Non Medical Emergencies	The Bronx	2840	295
2009-09-01	Non Medical Emergencies	Staten Island	761	296
2009-09-01	Non Medical Emergencies	Brooklyn	3880	251
2009-09-01	Non Medical Emergencies	Queens	2528	306
2009-09-01	False Alarm	Citywide	2187	247
2009-09-01	False Alarm	Manhattan	373	260
2009-09-01	False Alarm	The Bronx	563	260
2009-09-01	False Alarm	Staten Island	217	249
2009-09-01	False Alarm	Brooklyn	457	212
2009-09-01	False Alarm	Queens	577	251
2009-09-01	Medical False Alarm	Citywide	405	254
2009-09-01	Medical False Alarm	Manhattan	94	266
2009-09-01	Medical False Alarm	The Bronx	92	237
2009-09-01	Medical False Alarm	Staten Island	13	312
2009-09-01	Medical False Alarm	Brooklyn	96	221
2009-09-01	Medical False Alarm	Queens	110	279
2009-09-01	All Fire/Emergency Incidents	Citywide	37082	267
2009-09-01	All Fire/Emergency Incidents	Manhattan	9822	277
2009-09-01	All Fire/Emergency Incidents	The Bronx	7411	276
2009-09-01	All Fire/Emergency Incidents	Staten Island	1998	273
2009-09-01	All Fire/Emergency Incidents	Brooklyn	10398	238
